Filename,Process ID,n_reads,n_aligned,skipped_reads_low_rel,length,cov_min,cov_max,cov_avg,cov_med
BSCRO596-24_r_1_s_50_BSCRO596-24,BSCRO596-24,9709643,447,756,1536,0.0,60.0,26.916015625,25.0
BSCRO661-24_r_1.3_s_100_BSCRO661-24,BSCRO661-24,2144660,779,836,1530,0.0,156.0,59.82941176470588,57.0
BSCRO622-24_r_1.3_s_100_BSCRO622-24,BSCRO622-24,7063246,461,380,1536,0.0,64.0,33.8984375,34.0
BSCRO597-24_r_1.3_s_100_BSCRO597-24,BSCRO597-24,9617720,507,15,1551,0.0,108.0,50.7504835589942,51.0
BSCRO647-24_r_1_s_100_BSCRO647-24,BSCRO647-24,6715303,477,1152,1551,0.0,84.0,41.14700193423597,42.0
BSCRO629-24_r_1.5_s_50_BSCRO629-24,BSCRO629-24,8447574,81,1900,1530,0.0,33.0,4.670588235294118,1.0
BSCRO639-24_r_1_s_50_BSCRO639-24,BSCRO639-24,903107,5572,251,1530,225.0,677.0,443.58039215686273,450.0
BSCRO621-24_r_1_s_100_BSCRO621-24,BSCRO621-24,3654238,11746,973,1536,0.0,1640.0,863.712890625,807.0
BSCRO628-24_r_1.3_s_100_BSCRO628-24,BSCRO628-24,6102010,43347,1025,1536,0.0,6823.0,3298.9921875,2882.5
BSCRO620-24_r_1.5_s_50_BSCRO620-24,BSCRO620-24,9414388,447,759,1533,0.0,58.0,32.19178082191781,31.0
BSCRO650-24_r_1.5_s_100_BSCRO650-24,BSCRO650-24,5207652,281,0,1533,0.0,57.0,16.195694716242663,14.0
BSCRO663-24_r_1.3_s_100_BSCRO663-24,BSCRO663-24,7881669,2003,183,1533,41.0,233.0,136.5283757338552,138.0
BSCRO626-24_r_1_s_50_BSCRO626-24,BSCRO626-24,8000350,1403,11,1533,1.0,173.0,95.68297455968688,97.0
BSCRO638-24_r_1.3_s_100_BSCRO638-24,BSCRO638-24,4425098,598,556,1530,1.0,113.0,45.23921568627451,38.0
BSCRO624-24_r_1.3_s_50_BSCRO624-24,BSCRO624-24,7984916,1044,372,1533,1.0,117.0,69.19765166340508,68.0
BSCRO600-24_r_1_s_100_BSCRO600-24,BSCRO600-24,6771994,8939,326,1536,1.0,1457.0,809.9765625,803.0
BSCRO600-24_r_1.5_s_100_BSCRO600-24,BSCRO600-24,6771994,7290,326,1536,0.0,1092.0,661.578125,653.5
BSCRO606-24_r_1.5_s_100_BSCRO606-24,BSCRO606-24,5356724,775,846,1533,0.0,120.0,76.89432485322897,80.0
BSCRO586-24_r_1_s_50_BSCRO586-24,BSCRO586-24,7377468,11614,5175,1536,0.0,1433.0,1014.048828125,1023.0
BSCRO633-24_r_1.5_s_50_BSCRO633-24,BSCRO633-24,8604949,260,0,1536,0.0,27.0,14.736328125,15.0
BSCRO596-24_r_1.3_s_100_BSCRO596-24,BSCRO596-24,9709643,230,756,1536,0.0,39.0,19.923828125,20.0
BSCRO646-24_r_1_s_100_BSCRO646-24,BSCRO646-24,7867038,1214,91,1551,0.0,190.0,131.84719535783367,148.0
BSCRO634-24_r_1_s_50_BSCRO634-24,BSCRO634-24,5202307,998,133,1536,0.0,158.0,75.005859375,69.0
BSCRO662-24_r_1.5_s_50_BSCRO662-24,BSCRO662-24,6963852,331,409,1551,0.0,69.0,20.16441005802708,18.0
BSCRO580-24_r_1.5_s_100_BSCRO580-24,BSCRO580-24,2691792,68,646,1533,0.0,34.0,7.050880626223092,7.0
BSCRO582-24_r_1_s_50_BSCRO582-24,BSCRO582-24,10247935,166126,2105,1536,4.0,26515.0,13861.421875,13090.5
BSCRO649-24_r_1_s_100_BSCRO649-24,BSCRO649-24,5351486,29,15,1530,0.0,7.0,1.8470588235294119,1.0
BSCRO584-24_r_1_s_50_BSCRO584-24,BSCRO584-24,3343924,1024,1335,1536,0.0,201.0,75.763671875,64.0
BSCRO643-24_r_1.3_s_50_BSCRO643-24,BSCRO643-24,8804757,232,12,1536,1.0,53.0,12.18359375,11.0
BSCRO575-24_r_1.5_s_50_BSCRO575-24,BSCRO575-24,8762751,759,776,1533,0.0,116.0,71.61448140900195,76.0
BSCRO654-24_r_1.5_s_50_BSCRO654-24,BSCRO654-24,6799098,509,41,1533,0.0,60.0,39.54794520547945,39.0
BSCRO613-24_r_1_s_100_BSCRO613-24,BSCRO613-24,10360358,681,19,1533,26.0,83.0,58.56947162426614,60.0
BSCRO580-24_r_1.3_s_100_BSCRO580-24,BSCRO580-24,2691792,150,646,1533,0.0,57.0,17.16634050880626,15.0
BSCRO665-24_r_1_s_50_BSCRO665-24,BSCRO665-24,7456382,1591,22,1533,3.0,191.0,124.78864970645793,126.0
BSCRO615-24_r_1.5_s_100_BSCRO615-24,BSCRO615-24,8992549,2031,2821,1551,0.0,482.0,208.50290135396517,207.0
BSCRO617-24_r_1.3_s_100_BSCRO617-24,BSCRO617-24,9242482,949,768,1533,0.0,154.0,99.58904109589041,93.0
BSCRO657-24_r_1_s_50_BSCRO657-24,BSCRO657-24,6774760,1046,241,1530,37.0,150.0,72.17058823529412,69.0
BSCRO614-24_r_1.3_s_100_BSCRO614-24,BSCRO614-24,12316191,1114,105,1551,0.0,177.0,107.00967117988395,120.0
