Filename,ID,mge_params,fasta_header,sample_taxid,ref_accession,ref_rank,n_reads_in,n_reads_aligned,n_reads_skipped,ref_length,cov_min,cov_max,cov_avg,cov_med,cleaning_removed_human,cleaning_removed_at,cleaning_removed_outlier,cleaning_removed_reference,cleaning_ambig_bases,cleaning_cov_percent
ILECA1472-25_r_1.5_s_50_ILECA1472-25_fcleaner,ILECA1472-25,r_1.5_s_50_fcleaner,>ILECA1472-25_r_1.5_s_50_ILECA1472-25_fcleaner,2561109,QUQ05862.1,genus:Coleophora,null,795,null,null,0.0,186.0,59.44,53.0,0,94,40,0,0,85.88
ILECA1491-25_r_1.3_s_50_ILECA1491-25_fcleaner,ILECA1491-25,r_1.3_s_50_fcleaner,>ILECA1491-25_r_1.3_s_50_ILECA1491-25_fcleaner,1869665,QUQ05862.1,genus:Coleophora,null,953,null,null,16.0,114.0,65.12,67.0,0,93,15,0,0,100.0
ILECA1490-25_r_1.3_s_100_ILECA1490-25_fcleaner,ILECA1490-25,r_1.3_s_100_fcleaner,>ILECA1490-25_r_1.3_s_100_ILECA1490-25_fcleaner,2561109,QUQ05862.1,genus:Coleophora,null,1081,null,null,10.0,113.0,66.27,65.0,0,50,16,0,0,100.0
ILECA1427-25_r_1.3_s_50_ILECA1427-25_fcleaner,ILECA1427-25,r_1.3_s_50_fcleaner,>ILECA1427-25_r_1.3_s_50_ILECA1427-25_fcleaner,2561109,QUQ05862.1,genus:Coleophora,null,36,null,null,0.0,12.0,2.48,2.0,0,68,2,0,0,74.71
ILECA1427-25_r_1.3_s_100_ILECA1427-25_fcleaner,ILECA1427-25,r_1.3_s_100_fcleaner,>ILECA1427-25_r_1.3_s_100_ILECA1427-25_fcleaner,2561109,QUQ05862.1,genus:Coleophora,null,26,null,null,0.0,12.0,2.18,1.0,0,45,1,0,0,69.41
ILECA1429-25_r_1_s_100_ILECA1429-25_fcleaner,ILECA1429-25,r_1_s_100_fcleaner,>ILECA1429-25_r_1_s_100_ILECA1429-25_fcleaner,2561109,QUQ05862.1,genus:Coleophora,null,113,null,null,0.0,15.0,8.81,8.5,0,4,3,0,0,99.61
ILECA1467-25_r_1.5_s_100_ILECA1467-25_fcleaner,ILECA1467-25,r_1.5_s_100_fcleaner,>ILECA1467-25_r_1.5_s_100_ILECA1467-25_fcleaner,934840,WWT36307.1,species:Eupithecia abbreviata,null,554,null,null,11.0,64.0,41.09,42.0,0,33,10,0,0,100.0
ILECA1438-25_r_1_s_100_ILECA1438-25_fcleaner,ILECA1438-25,r_1_s_100_fcleaner,>ILECA1438-25_r_1_s_100_ILECA1438-25_fcleaner,2561109,QUQ05862.1,genus:Coleophora,null,5134,null,null,132.0,578.0,368.71,368.0,0,122,65,0,0,100.0
ILECA1470-25_r_1_s_100_ILECA1470-25_fcleaner,ILECA1470-25,r_1_s_100_fcleaner,>ILECA1470-25_r_1_s_100_ILECA1470-25_fcleaner,934840,WWT36307.1,species:Eupithecia abbreviata,null,750,null,null,24.0,118.0,60.44,60.0,0,69,15,0,0,100.0
ILECA1432-25_r_1_s_100_ILECA1432-25_fcleaner,ILECA1432-25,r_1_s_100_fcleaner,>ILECA1432-25_r_1_s_100_ILECA1432-25_fcleaner,2561109,QUQ05862.1,genus:Coleophora,null,161,null,null,2.0,19.0,10.38,10.0,0,21,2,0,0,100.0
