Filename,Process ID,n_reads,n_aligned,skipped_reads_low_rel,length,cov_min,cov_max,cov_avg,cov_med
BGSNL771-24_r_1_s_50_BGSNL771-24,BGSNL771-24,1570588,643,43,1533,12.0,49.0,30.062622309197653,30.0
BGSNL799-24_r_1_s_50_BGSNL799-24,BGSNL799-24,8694677,5407,110,1530,152.0,446.0,280.26666666666665,274.0
BGSNL780-24_r_1_s_50_BGSNL780-24,BGSNL780-24,8271682,3706,36,1533,58.0,287.0,167.0665362035225,160.0
BGSNL779-24_r_1_s_100_BGSNL779-24,BGSNL779-24,648041,86,72,1533,0.0,15.0,4.876712328767123,3.0
BGSNL829-24_r_1.5_s_100_BGSNL829-24,BGSNL829-24,8514730,1072,41,1530,17.0,113.0,52.85490196078431,50.0
BGSNL855-24_r_1.3_s_50_BGSNL855-24,BGSNL855-24,7598603,1878,10,1530,27.0,122.0,72.05098039215686,72.0
BGSNL853-24_r_1.5_s_50_BGSNL853-24,BGSNL853-24,5822516,1091,36,1530,19.0,97.0,50.82156862745098,49.0
BGSNL844-24_r_1.3_s_50_BGSNL844-24,BGSNL844-24,672962,109,92,1533,0.0,17.0,4.299412915851272,4.0
BGSNL807-24_r_1_s_100_BGSNL807-24,BGSNL807-24,7027882,3812,60,1530,111.0,342.0,230.28235294117647,220.0
BGSNL847-24_r_1_s_50_BGSNL847-24,BGSNL847-24,6512152,1215,64,1533,20.0,95.0,46.98825831702544,45.0
BGE00299-NC_r_1_s_50_BGE00299-NC,BGE00299-NC,219911,35,67,1539,0.0,12.0,1.98635477582846,1.0
BGSNL811-24_r_1.5_s_50_BGSNL811-24,BGSNL811-24,9700837,1617,132,1533,44.0,141.0,91.18003913894324,86.0
BGSNL832-24_r_1.3_s_50_BGSNL832-24,BGSNL832-24,1470582,100,80,1530,0.0,20.0,4.107843137254902,3.0
BGSNL766-24_r_1_s_100_BGSNL766-24,BGSNL766-24,4730048,1132,35,1506,13.0,116.0,62.01394422310757,58.0
BGSNL792-24_r_1_s_100_BGSNL792-24,BGSNL792-24,8004794,2070,109,1530,53.0,222.0,115.93333333333334,109.0
BGSNL794-24_r_1_s_50_BGSNL794-24,BGSNL794-24,6992646,2418,104,1530,91.0,217.0,129.90196078431373,123.0
BGSNL830-24_r_1.5_s_100_BGSNL830-24,BGSNL830-24,7575178,3540,9,1530,101.0,354.0,207.22941176470587,201.0
BGSNL792-24_r_1_s_50_BGSNL792-24,BGSNL792-24,8004794,2994,109,1530,90.0,269.0,145.16666666666666,135.0
BGSNL848-24_r_1.3_s_50_BGSNL848-24,BGSNL848-24,6865881,6519,7,1533,97.0,514.0,272.68688845401175,265.0
BGSNL792-24_r_1.5_s_50_BGSNL792-24,BGSNL792-24,8004794,2865,109,1530,89.0,257.0,140.2686274509804,131.0
BGSNL836-24_r_1.3_s_100_BGSNL836-24,BGSNL836-24,8341449,11454,516,1530,264.0,1115.0,639.6078431372549,594.5
BGSNL776-24_r_1_s_100_BGSNL776-24,BGSNL776-24,4218482,1171,45,1533,9.0,134.0,57.545988258317024,53.0
BGSNL830-24_r_1.5_s_50_BGSNL830-24,BGSNL830-24,7575178,4861,9,1530,149.0,403.0,248.34313725490196,244.0
BGSNL802-24_r_1.3_s_100_BGSNL802-24,BGSNL802-24,8264941,1147,88,1530,34.0,112.0,70.48823529411764,68.0
BGSNL823-24_r_1_s_50_BGSNL823-24,BGSNL823-24,9380768,1292,1,1533,29.0,95.0,59.776908023483365,58.0
BGSNL808-24_r_1_s_100_BGSNL808-24,BGSNL808-24,8038388,1559,11,1533,36.0,145.0,90.52054794520548,88.0
BGSNL842-24_r_1.5_s_100_BGSNL842-24,BGSNL842-24,7534916,1201,85,1533,10.0,109.0,62.37377690802348,61.0
BGSNL790-24_r_1_s_50_BGSNL790-24,BGSNL790-24,7748728,5396,88,1530,163.0,456.0,287.8921568627451,278.0
BGSNL762-24_r_1_s_50_BGSNL762-24,BGSNL762-24,3434941,832,134,1506,7.0,72.0,34.31673306772908,33.0
